name,calories,proteins,fat,carbohydrate,porsi saji,Kalium,Fosfor,Natrium,status HD,kategori klinis,cairan
Beras Giling,360.0,6.8,0.7,78.9,100g,100.3,58.4,12.3,Aman,Normal / Seimbang,12.1
Beras Giling masak (nasi) ,178.0,2.1,0.1,40.6,150g,63.2,52.3,11.4,Aman,Rendah Kalium,55.7
Beras giling mentah,357.0,8.4,1.7,77.1,100g,98.6,70.2,13.7,Aman,Rendah Kalium,11.3
Beras giling var pelita mentah,369.0,9.5,1.4,77.1,100g,104.6,71.2,13.0,Aman,Normal / Seimbang,10.5
Beras giling var rojolele mentah,357.0,8.4,1.7,77.1,100g,107.2,68.7,10.1,Aman,Normal / Seimbang,11.3
Beras hitam mentah,351.0,8.0,1.3,76.9,100g,105.6,59.4,6.4,Aman,Normal / Seimbang,12.3
Beras jagung kuning kering mentah,358.0,5.5,0.1,82.7,100g,91.6,58.0,13.2,Aman,Rendah Kalium,8.0
Beras jagung putih kering mentah,307.0,4.8,0.1,71.8,100g,102.3,63.5,11.4,Aman,Normal / Seimbang,8.0
Beras Ketan Hitam,356.0,7.0,0.7,78.0,100g,100.5,58.5,11.9,Aman,Normal / Seimbang,12.8
Beras Ketan Hitam kukus,181.0,4.0,1.2,37.3,100g,171.3,44.3,6.3,Batasi,Normal / Seimbang,56.0
Beras Ketan Hitam tape,166.0,3.8,1.0,34.4,100g,76.2,64.4,11.6,Aman,Rendah Kalium,59.3
Beras Ketan Hitam tumbuk,360.0,8.0,2.3,74.5,100g,106.0,76.5,10.4,Aman,Normal / Seimbang,13.7
Beras ketan hitam tumbuk mentah,360.0,8.0,2.3,74.5,100g,104.6,71.1,12.4,Aman,Normal / Seimbang,13.7
Beras Ketan Putih,362.0,6.7,0.7,79.4,100g,94.0,65.3,14.0,Aman,Rendah Kalium,11.7
Beras Ketan Putih kukus,163.0,3.0,0.4,35.7,100g,190.3,42.3,12.3,Batasi,Normal / Seimbang,59.4
Beras Ketan Putih tape,172.0,3.0,0.5,37.5,100g,64.4,55.5,12.7,Aman,Rendah Kalium,57.5
Beras Ketan Putih tumbuk,361.0,7.4,0.8,78.4,100g,119.8,61.8,8.6,Aman,Normal / Seimbang,11.9
Beras ketan putih tumbuk mentah,361.0,7.4,0.8,78.4,100g,97.5,51.3,9.9,Aman,Rendah Kalium,11.9
Beras ladang mentah,376.0,7.5,3.8,78.0,100g,96.4,70.0,13.4,Aman,Rendah Kalium,9.2
Beras Menir,339.0,7.7,4.4,73.0,100g,116.2,77.3,9.7,Aman,Normal / Seimbang,13.4
Beras menir mentah,362.0,7.7,4.4,73.0,100g,94.0,73.6,6.7,Aman,Rendah Kalium,13.4
Beras Merah tumbuk,359.0,7.5,0.9,77.6,100g,116.9,78.2,10.1,Aman,Normal / Seimbang,12.5
Beras Parboiled,364.0,6.8,0.6,80.1,100g,87.1,76.4,11.5,Aman,Rendah Kalium,11.0
Beras parboiled,353.0,6.8,0.6,80.0,100g,110.7,52.8,9.6,Aman,Normal / Seimbang,11.1
Beras Pecah Kulit,335.0,7.4,1.9,76.2,100g,101.4,68.7,10.2,Aman,Normal / Seimbang,13.0
Beras Setengah Giling,363.0,7.6,1.1,78.3,100g,107.9,60.7,11.4,Aman,Normal / Seimbang,11.5
Beras Siger,344.0,1.1,0.2,28.3,100g,61.1,44.1,14.8,Aman,Rendah Kalium,68.9
Beras tumbuk mentah,354.0,7.8,0.4,79.9,100g,95.3,57.8,17.1,Aman,Rendah Kalium,10.4
Beras tumbuk merah mentah,352.0,7.3,0.9,76.2,100g,103.7,61.9,18.2,Aman,Normal / Seimbang,14.1
Betok wadi masakan,145.0,16.3,7.0,4.1,100g,104.6,117.8,12.3,Batasi,Normal / Seimbang,71.1
Bihun,360.0,4.7,0.1,82.1,150g,110.8,70.2,11.0,Aman,Normal / Seimbang,11.6
Bihun Goreng ,154.0,3.0,4.5,25.5,150g,73.5,53.7,17.5,Aman,Rendah Kalium,8.0
Bihun goreng instan,381.0,6.1,3.9,80.3,150g,90.8,67.9,16.2,Aman,Rendah Kalium,8.0
Bihun Jagung mentah,354.0,0.5,0.3,87.4,150g,67.6,27.8,3.8,Aman,Rendah Kalium,10.3
Bihun mentah,348.0,4.7,0.1,82.1,150g,92.1,61.9,18.0,Aman,Rendah Kalium,11.6
Biji Jambu Mete,562.0,21.2,49.6,23.6,100g,117.1,69.9,1.0,Aman,Normal / Seimbang,4.1
Biji Jambu Mete goreng,629.0,21.5,56.6,19.8,100g,100.2,65.6,2.3,Aman,Normal / Seimbang,0.6
Biji nangka/Biji salak,262.0,2.3,5.4,51.1,100g,385.7,11.5,1.9,Hindari,Tinggi Kalium,39.7
Bika ambon,199.0,2.1,1.5,44.4,100g,59.7,49.8,13.5,Aman,Rendah Kalium,50.5
Bika Ambon ,225.7,3.0,0.3,52.9,100g,69.1,44.4,7.8,Aman,Rendah Kalium,42.3
Bir (4% alkohol),48.0,0.6,0.0,4.4,100g,48.4,45.3,8.1,Batasi,Rendah Kalium & Tinggi Cairan,93.5
Biskuit,458.0,6.9,14.4,75.1,30g,103.2,61.8,8.8,Aman,Normal / Seimbang,2.1
Bit,42.0,1.6,0.1,9.6,100g,53.6,33.9,9.8,Batasi,Rendah Kalium & Tinggi Cairan,87.2
Biwah segar,51.0,0.3,0.1,12.1,100g,41.3,52.1,12.1,Batasi,Rendah Kalium & Tinggi Cairan,86.0
Bonggol Pisang,43.0,2.6,0.0,11.6,100g,332.3,19.1,1.9,Hindari,Tinggi Kalium & Tinggi Cairan,84.3
Bonggol Pisang kering,245.0,3.4,0.0,66.2,100g,399.5,22.3,2.6,Hindari,Tinggi Kalium,8.0
Bongkrek (tempe bungkil),119.0,4.4,3.5,18.3,100g,450.7,246.6,13.9,Hindari,Tinggi Kalium & Tinggi Fosfor,72.3
Boros Kunci,23.0,1.0,0.8,7.2,100g,33.0,27.4,17.5,Batasi,Rendah Kalium & Tinggi Cairan,89.5
Boros Laja (lengkuas),22.0,1.0,0.3,4.7,100g,63.5,37.5,14.3,Batasi,Rendah Kalium & Tinggi Cairan,92.5
Botok lamtoro,186.0,11.7,9.7,13.0,100g,93.6,112.3,16.5,Batasi,Rendah Kalium,64.1
Brem,249.0,3.4,0.4,58.0,100g,79.1,42.7,5.6,Aman,Rendah Kalium,36.7
Brondong ,400.0,4.0,0.7,95.3,100g,98.7,46.9,6.3,Aman,Rendah Kalium,0.0
Brongkos,141.0,15.3,3.3,12.6,100g,98.4,95.2,18.7,Aman,Rendah Kalium,67.3
Buah Atung,23.0,0.8,0.2,5.2,100g,110.7,14.0,3.2,Batasi,Tinggi Cairan,92.3
Buah kelenting segar,110.0,1.4,2.1,21.4,100g,115.6,12.9,3.2,Aman,Normal / Seimbang,73.6
Buah kelor,38.0,1.5,0.2,7.5,100g,145.5,27.6,7.6,Batasi,Tinggi Cairan,89.3
Buah kom segar,264.0,4.0,1.1,59.6,100g,134.7,17.9,2.7,Aman,Normal / Seimbang,33.8
Buah Mentega (bisbul),39.0,0.7,0.2,9.7,100g,214.2,147.4,235.1,Batasi,Tinggi Cairan,87.9
Buah merah,87.0,2.6,2.7,13.1,100g,104.0,17.0,1.5,Batasi,Tinggi Cairan,80.1
Buah Naga Merah segar,71.0,1.7,3.1,9.1,100g,99.5,16.4,1.3,Batasi,Rendah Kalium & Tinggi Cairan,84.6
Buah Naga Putih segar,56.0,0.8,1.0,10.9,100g,109.8,13.8,1.8,Batasi,Tinggi Cairan,85.8
Buah negri segar,55.0,1.2,0.1,12.2,100g,101.3,13.3,2.6,Batasi,Tinggi Cairan,85.0
Buah Nona,101.0,1.7,0.6,25.2,100g,121.6,13.3,2.1,Aman,Normal / Seimbang,71.0
Buah rotan segar,78.0,0.6,0.3,18.2,100g,118.8,8.5,2.4,Batasi,Normal / Seimbang,79.4
Buah rukam segar,113.0,0.8,0.3,26.8,100g,113.5,15.7,1.4,Aman,Normal / Seimbang,70.6
Buah ruruhi segar,29.0,2.1,0.7,3.6,100g,88.1,12.4,2.0,Batasi,Rendah Kalium & Tinggi Cairan,92.1
Buah tuppa segar,67.0,0.4,0.2,15.9,100g,113.2,10.3,2.5,Batasi,Tinggi Cairan,82.0
Buaya daging dendeng mentah,365.0,49.6,4.8,30.8,30g,499.6,632.4,627.1,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,13.3
Bubur ,60.0,1.0,60.0,13.0,150g,46.8,36.4,16.0,Aman,Rendah Kalium,24.5
Bubur sagu,167.0,0.2,4.0,33.0,150g,54.3,42.6,7.5,Aman,Rendah Kalium,61.3
Bubur tinotuan (Manado),156.0,2.3,0.2,15.6,150g,63.5,56.9,2.1,Batasi,Rendah Kalium & Tinggi Cairan,80.4
Bulgogi masakan,72.0,11.4,4.9,1.4,100g,79.1,90.9,11.2,Batasi,Rendah Kalium & Tinggi Cairan,80.8
Bulung Jajan,212.0,16.9,0.2,47.6,100g,126.2,106.2,12.3,Batasi,Normal / Seimbang,33.8
Bulung Sangu,237.0,14.7,0.2,56.0,100g,117.6,110.5,13.0,Batasi,Normal / Seimbang,27.6
Buncis,35.0,2.4,0.2,7.7,100g,143.3,34.2,7.0,Batasi,Tinggi Cairan,88.2
Buncis asam,60.0,5.1,0.5,8.5,100g,135.0,49.5,7.2,Batasi,Tinggi Cairan,84.4
Buncis rebus,30.0,2.2,0.2,6.4,100g,141.2,43.2,9.7,Batasi,Tinggi Cairan,89.7
Bunga pepaya segar,45.0,2.6,0.3,8.1,100g,103.1,22.1,1.7,Batasi,Tinggi Cairan,87.5
Bunga turi segar,42.0,2.0,1.1,6.1,100g,112.9,30.0,4.3,Batasi,Tinggi Cairan,89.3
Bungkil Biji Karet,333.0,29.3,3.3,50.0,100g,164.7,167.0,18.7,Batasi,Normal / Seimbang,15.9
Bungkil Kacang Tanah,336.0,37.4,13.0,30.5,100g,802.2,515.9,18.3,Hindari,Tinggi Kalium & Tinggi Fosfor,17.6
Bungkil Kelapa,368.0,23.0,15.0,40.0,100g,340.8,70.2,2.6,Hindari,Tinggi Kalium,20.5
Buntil ,106.0,4.4,6.3,7.9,100g,51.7,64.0,13.4,Batasi,Rendah Kalium,79.9
Buntil daun talas,141.0,4.4,10.2,8.0,100g,364.0,47.3,12.5,Hindari,Tinggi Kalium,75.9
Buras ,125.7,3.3,1.9,23.9,100g,67.6,51.8,10.2,Aman,Rendah Kalium,69.4
Burung sarang segar,281.0,37.5,0.3,32.1,100g,182.3,210.4,8.6,Hindari,Tinggi Fosfor,28.6
Cabai gembor merah segar,38.0,1.6,0.8,6.3,100g,138.4,30.3,9.0,Batasi,Tinggi Cairan,89.8
Cabai hijau segar,26.0,0.7,0.3,5.2,100g,140.2,32.3,7.0,Batasi,Tinggi Cairan,92.3
Cabai merah kering,367.0,15.9,6.2,61.8,100g,200.9,92.6,7.1,Batasi,Normal / Seimbang,8.0
Cabai merah segar,36.0,1.0,0.3,7.3,100g,143.3,32.5,6.2,Batasi,Tinggi Cairan,89.9
Cabai rawit segar,120.0,4.7,2.4,19.9,100g,164.3,51.6,8.8,Batasi,Normal / Seimbang,71.5
Caisin segar,20.0,1.7,0.4,3.4,100g,67.3,36.5,7.0,Batasi,Rendah Kalium & Tinggi Cairan,93.0
Cakalang asar (asap papua),155.0,20.1,3.8,10.2,100g,335.0,318.7,70.2,Hindari,Tinggi Kalium & Tinggi Fosfor,64.4
Cake tape,323.0,4.9,11.5,50.1,100g,81.7,59.3,7.5,Aman,Rendah Kalium,32.0
Cammetutu,102.0,3.2,6.0,8.7,100g,79.2,50.4,12.4,Batasi,Rendah Kalium & Tinggi Cairan,80.6
Cantel mentah,366.0,11.0,3.3,73.0,100g,118.5,88.3,12.9,Aman,Normal / Seimbang,11.2
Cap cai sayur,97.0,5.8,6.3,4.2,100g,125.6,53.0,11.8,Batasi,Tinggi Cairan,82.2
Carica papaya segar,24.0,1.9,0.2,3.7,100g,63.9,56.3,10.0,Batasi,Rendah Kalium & Tinggi Cairan,92.7
Cassavastick,460.0,0.8,18.7,17.2,100g,46.8,37.6,12.2,Aman,Rendah Kalium,61.8
Cempedak,116.0,3.0,0.4,28.6,100g,75.7,35.0,18.1,Aman,Rendah Kalium,66.5
Cengkeh kering,330.0,5.2,8.9,57.4,100g,84.9,55.0,8.0,Aman,Rendah Kalium,8.0
Centel,332.0,11.0,3.3,73.0,100g,99.5,91.1,12.3,Aman,Rendah Kalium,11.2
Ceriping getuk singkong,462.0,1.2,20.7,67.7,100g,449.6,25.2,7.3,Hindari,Tinggi Kalium,8.9
Chicken teriyaki masakan,168.0,13.0,9.6,7.5,100g,106.9,91.4,6.0,Aman,Normal / Seimbang,68.4
Chikiniku masakan,143.0,9.8,1.4,22.8,100g,86.5,76.9,1.2,Aman,Rendah Kalium,64.5
Coklat bubuk,311.0,8.0,4.0,48.9,100g,92.1,69.2,14.8,Aman,Rendah Kalium,37.6
Coklat Manis batang,472.0,2.0,29.8,62.7,100g,91.9,53.0,10.9,Aman,Rendah Kalium,4.0
Coklat Pahit batang,504.0,5.5,52.9,29.2,100g,67.1,80.3,12.2,Aman,Rendah Kalium,10.9
Coklat Susu batang,381.0,9.0,35.0,53.6,200g,252.2,267.6,400.0,Hindari,Tinggi Fosfor,0.9
Combro ,210.0,1.6,6.6,35.8,100g,63.8,37.6,9.8,Aman,Rendah Kalium,54.5
Corned Beef,241.0,16.0,25.0,0.0,100g,100.7,102.7,9.1,Batasi,Normal / Seimbang,57.5
Coto mangkasara kuda masakan,96.0,6.8,5.9,3.8,100g,71.2,63.6,18.0,Batasi,Rendah Kalium & Tinggi Cairan,82.0
Coto mangkasara sapi masakan,84.0,6.0,6.0,1.4,100g,240.0,208.1,75.0,Hindari,Tinggi Fosfor & Tinggi Cairan,85.1
